KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
 4.1842422     0.54269016    
 3.6245735     0.48014948    
 3.4786453     0.43793741    
 3.7722569     0.41429907    
 4.4970574     0.41161036    
 5.5790811     0.43094477    
 6.7826724     0.46224397    
 7.9126253     0.48841020    
 8.8013763     0.50064635    
 9.3089228     0.50887156    
 9.3797588     0.53224176    
 9.2602310     0.57872140    
 8.6682043     0.64441711    
 7.9118199     0.71610332    
 7.1921420     0.78156030    
 6.7509255     0.83420879    
 6.1276765     0.18294726    
 5.4096160     0.58375247E-01
 3.7558742     0.19599631    
 2.4034421     0.25856760    
 2.5184243     0.23343346    
 6.2037458     0.20407310    
 11.115807     0.23469275    
 12.147103     0.30852932    
 10.912962     0.37441611    
 9.5084953     0.40444908    
 8.5356884     0.40131652    
 7.0173674     0.38004145    
 5.3679156     0.36039269    
 3.4394534     0.33787239    
 2.5544395     0.29046547    
 2.8048625     0.21563312    
 6.6507125     0.15660617    
 13.246584     0.87306574E-01
 14.665479     0.66583216E-01
 8.9176893     0.15339015    
 4.7415209     0.17217714    
 3.7728684     0.21378438    
 3.8442054     0.26059881    
 3.6708033     0.24535111    
 2.8753114     0.15124495    
 1.9426218     0.42160355E-01
 2.6494684     0.18819866    
 3.2110741     0.37368992    
 5.1317573     0.53459239    
 6.6956310     0.66350138    
 7.7288013     0.74596727    
 7.3523183     0.78476197    
 6.5528073     0.77166802    
 5.2771535     0.71533889    
 4.2202635     0.63932133    
 3.3397739     0.55688894    
 2.7792521     0.48107964    
 2.6953964     0.42317131    
 3.1024706     0.39472798    
 4.0277276     0.40193316    
 5.2822132     0.43288383    
 6.6064625     0.46850178    
 7.7634621     0.49481496    
 8.5755434     0.50819975    
 8.9363174     0.51977384    
 9.0104361     0.54419470    
 8.5596809     0.58898818    
 7.8381629     0.64876080    
 7.0070572     0.71143883    
 6.0634918     0.76387495    
 5.7868729     0.80512714    
 6.4831829     0.12581557    
 5.3965425     0.80476843E-01
 3.6715200     0.21135159    
 2.2311890     0.22935414    
 2.5624201     0.15960225    
 9.3275976     0.13759552    
 14.784064     0.21264164    
 14.255362     0.31362608    
 12.221579     0.37862629    
 10.691231     0.40097690    
 9.2656269     0.39596605    
 7.7528749     0.38134393    
