KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
 6.3838890      .24119280    
 5.8310580      .18015310    
 5.1436190      .97148280E-01
 7.2903910      .23499290    
 10.055000      .28836210    
 13.131250      .23368680    
 16.540030      .11054510    
 15.326510      .17719900    
 11.992410      .25874650    
 8.3374350      .22051020    
 4.4509340      .10747550    
 6.7488170      .16536600    
 5.7614970      .24938150    
 12.531460      .19176400    
 7.8632660      .14657340    
 7.5509170      .18488880    
 9.4630010      .28712070    
 10.963680      .35028100    
 12.128430      .43603750    
 12.438900      .52294470    
 12.393660      .57879080    
 12.153770      .59345610    
 11.526410      .58225950    
 11.194190      .58717710    
 11.165800      .64013520    
 11.416520      .73889870    
 11.985540      .85115390    
 12.817620      .94611110    
 13.020870      1.0050490    
 14.179480      1.0177850    
 15.430320      .97987120    
 16.729870      .89007430    
 17.969840      .74989170    
 19.020410      .56706660    
 21.096280      .35810660    
 20.950460      .21864010    
 18.215460      .22291580    
 15.246080      .18871880    
 12.865560      .24193930    
 11.751250      .41614170    
 10.698820      .58553120    
 9.7119860      .73657330    
 10.348590      .91431190    
 10.027820      1.0654940    
 .34892180      .13437270    
 .86173660      .12570760    
 1.9513740      .25435890    
 2.4568760      .26746280    
 2.5198610      .15144060    
 2.7341640      .10206310    
 3.3380130      .24649580    
 3.3635770      .26735050    
 3.0072370      .15218400    
 3.1487000      .10109780    
 5.8824240      .24312420    
 9.4492510      .28502370    
 13.631420      .21636630    
 17.644010      .44364220E-01
 16.476500      .16200450    
 13.106780      .21656030    
 8.0753740      .19493980    
 3.6678810      .45134780E-01
 9.0701010      .17383640    
 14.256610      .17756570    
 12.526120      .15110080    
 5.6944900      .36740630E-01
 6.8941910      .20530170    
 8.8430010      .34688310    
 10.194690      .43359960    
 11.463560      .51570460    
 11.781710      .56661780    
 11.753160      .57656000    
 11.515980      .54476320    
 10.988010      .49725440    
 10.711420      .49352070    
 10.816130      .57032460    
 11.223060      .69947950    
 11.932330      .83189960    
 12.849760      .93463100    
 13.863620      .98970120    
 14.339450      1.0091850    
 15.595950      .96830470    
 16.857600      .87652880    
 17.950240      .73850380    
 20.843980      .55641700    
 20.904920      .39914900    
 20.373370      .33740190    
 17.231720      .30582030    
 14.658860      .29097750    
 12.012190      .35327000    
 11.080860      .47744490    
 10.124730      .61196480    
 9.2189960      .74351590    
 9.9199040      .91225550    
 9.6864410      1.0623920    
 1.3158300      .15226100    
 2.2652500      .17071710    
 3.1282550      .24127730    
 3.4554450      .24860860    
 3.6077170      .16821190    
 3.9511710      .17784630    
 4.1999710      .25205880    
 3.8845290      .25617580    
 3.3057760      .17311550    
 3.5739550      .17134690    
 5.9300660      .23035550    
 9.7818160      .26299840    
 14.036880      .21080650    
 16.571320      .13837750    
 17.412220      .11115570    
 13.799340      .18619320    
 9.6736720      .18739070    
 7.9664760      .14580840    
 12.790550      .17400010    
 17.031960      .89548130E-01
 13.006590      .12645010    
 7.4104210      .13346910    
 7.5193070      .29753250    
 10.572180      .36754990    
 11.649890      .46848290    
 9.0430240      .67126770    
 9.2856040      .68224570    
 11.395330      .54487880    
 10.885970      .47181890    
 10.438730      .38962780    
 10.258030      .39282880    
 10.547800      .51429460    
 11.119650      .67777710    
 11.940380      .82626190    
 12.895000      .93097490    
 13.905410      .98245530    
 14.933250      .97841780    
 15.704950      .96552750    
 16.849100      .87487750    
 17.751570      .74624020    
 20.804830      .57467120    
 20.583960      .46367790    
 19.761030      .43825330    
 16.428730      .38539120    
 14.079710      .38311660    
 11.172610      .43317050    
 10.367930      .51823250    
 9.5089540      .62354460    
 8.6971380      .74091630    
 9.4929570      .90653080    
 9.3581220      1.0593820    
 2.7398340      .19711180    
 3.8482580      .15720760    
 4.3607730      .22471280    
 4.5559540      .24973730    
 4.9103220      .20137410    
 5.2194780      .19066150    
 5.0203420      .24789030    
 4.3295360      .26433880    
 5.1786700      .21455520    
 3.7500830      .17007520    
 5.7776520      .19659860    
 6.8633480      .30413980    
 9.5752310      .29875730    
 13.195180      .18571700    
 17.850280      .37178550E-01
 13.536300      .19953910    
 11.279960      .20591770    
 18.374100      .21340100    
 16.555220      .13267590    
 19.262760      .66977700E-01
 12.743970      .14723640    
 8.3351310      .14935950    
 9.7740390      .27039070    
 10.886760      .41438360    
 11.545790      .51837680    
 9.3601230      .66085970    
 9.4669370      .64427690    
 9.4757240      .55390400    
 10.350590      .38393320    
 9.8845250      .25946980    
 9.8900240      .30412420    
 10.405100      .48792430    
 11.117310      .67915700    
 11.991980      .83372010    
 12.947530      .93484160    
 13.929260      .97885830    
 14.907840      .96665110    
 15.734450      .97150020    
 16.706130      .88508930    
 17.670510      .69505550    
 20.682340      .60425450    
 20.204110      .52572020    
 19.140300      .51233610    
 15.738990      .45053670    
 13.467070      .44767100    
 10.349690      .47825090    
 9.6426850      .53151050    
 8.8789460      .61642690    
 8.1691270      .72843520    
 9.0872400      .89859210    
